time_ni,acel_ni
39.815,-4.210485911
39.825,-5.426494835
39.835,-6.250303759
39.845,-6.877912683
39.855,-7.230921608
39.865,-7.309430532
39.875,-7.191739456
39.885,-6.87794838
39.895,-6.132657304
39.905,-5.151966229
39.915,-3.896775153
39.925,-2.837584077
39.935,-1.386293001
39.945,0.025898075
39.955,7.165089151
39.965,1.477280226
39.975,2.771771302
39.985,5.282262378
39.995,5.752953454
40.005,7.08664453
40.015,6.537435605
40.025,5.752926681
40.035,5.439117757
40.045,5.556708833
40.055,5.203699909
40.065,4.536890984
40.075,3.79158206
40.085,2.732373136
40.095,2.026364212
40.105,1.084855288
40.115,-0.052753636
40.125,-1.464862561
40.135,-2.916271485
40.145,-4.014580409
40.155,-5.152189333
40.165,-6.211298257
40.175,-6.839007182
40.185,-7.388116106
40.195,-7.62352503
40.205,-7.505833954
40.215,-7.113542878
40.225,-6.564451803
40.235,-5.662260727
40.245,-4.681569651
40.255,-3.308678575
40.265,-2.131887499
40.275,-0.758896424
40.285,0.417894652
40.295,2.536085728
40.305,1.555376804
40.315,3.28136788
40.325,5.909558956
40.335,5.831050031
40.345,6.576341107
40.355,6.968632183
40.365,6.419423259
40.375,6.105614335
40.385,5.83100541
40.395,5.517196486
40.405,4.614987562
40.415,3.830478638
40.425,2.732069714
40.435,1.672960789
40.445,0.653051865
40.455,-0.484457059
40.465,-1.935865983
40.475,-2.994974907
40.485,-3.818783832
40.495,-4.720992756
40.505,-5.38790168
40.515,-6.015510604
40.525,-6.447019528
40.535,-6.917728452
40.545,-6.839337377
40.555,-6.682346301
40.565,-6.368555225
40.575,-5.701764149
40.585,-4.760273073
40.595,-3.583481998
40.605,-2.289090922
40.615,-0.994599846
40.625,0.41759123
40.635,3.359582306
40.645,1.555073381
40.655,2.771164457
40.665,4.850155533
40.675,5.752346609
40.685,5.673837685
40.695,6.61532876
40.705,6.379919836
40.715,5.870010912
40.725,5.516901988
40.735,5.438493064
40.745,5.00698414
40.755,4.379375215
40.765,3.594766291
40.775,2.810257367
40.785,1.790348443
40.795,0.848939519
40.805,-2.053869406
40.815,-3.11297833
40.825,-4.211387254
40.835,-4.995896178
40.845,-5.545105102
40.855,-6.094314027
40.865,-6.761122951
40.875,-6.800331875
40.885,-6.761140799
40.895,-6.486549723
40.905,-6.055058648
40.915,-5.309767572
40.925,-4.407576496
40.935,-3.15238542
40.945,-1.975594344
40.955,-0.563403268
40.965,1.319487807
40.975,1.868578883
40.985,2.810069959
40.995,4.496761035
41.005,5.673552111
41.015,7.046543186
41.025,6.771934262
41.035,6.183525338
41.045,5.438216414
41.055,5.16360749
41.065,5.438198565
41.075,5.202789641
41.085,4.692880717
41.095,4.143671793
41.105,3.280662869
41.115,2.064653944
41.125,1.39774502
41.135,0.064036096
41.145,-1.583472828
41.155,-3.152581752
41.165,-4.172390676
41.175,-5.192299601
41.185,-5.780708525
41.195,-6.173017449
41.205,-6.996826373
41.215,-6.957535297
41.225,-6.800644222
41.235,-6.329953146
41.245,-5.62386207
41.255,-4.486370994
41.265,-3.152679918
41.275,-1.701288843
41.285,-0.485197767
41.295,0.848493309
41.305,4.025784385
41.315,2.495975461
41.325,4.221866537
41.335,5.359457612
41.345,6.340148688
41.355,6.261639764
41.365,5.67323084
41.375,5.124121916
41.385,5.006412991
41.395,5.084804067
41.405,4.731795143
41.415,4.457186219
41.425,3.907977295
41.435,3.12346837
41.445,2.103559446
41.455,1.554350522
41.465,0.534441598
41.475,-0.563867326
41.485,-1.740676251
41.495,-2.838985175
41.505,-3.584294099
41.515,-4.447303023
41.525,-5.545711947
41.535,-6.526320871
41.545,-7.036329796
41.555,-7.46783872
41.565,-6.957847644
41.575,-6.604856568
41.585,-6.016465492
41.595,-4.996574417
41.605,-2.878383341
41.615,-1.387792265
41.625,-0.289401189
41.635,0.808889887
41.645,1.789580962
41.655,4.653072038
41.665,3.201763114
41.675,3.82935419
41.685,5.084545266
41.695,6.026036341
41.705,5.869127417
41.715,5.986718493
41.725,5.555209569
41.735,5.633700645
41.745,5.202191721
41.755,4.770682796
41.765,4.103873872
41.775,3.436964948
41.785,2.417056024
41.795,1.4364471
41.805,0.220338175
41.815,-1.034870749
41.825,-2.093979673
41.835,-3.231588597
41.845,-3.859197521
41.855,-4.879106446
41.865,-5.82061537
41.875,-6.605124294
41.885,-7.154333218
41.895,-7.271942142
41.905,-7.193551067
41.915,-6.762059991
41.925,-6.409068915
41.935,-5.546077839
41.945,-4.408486763
41.955,-3.349395687
41.965,-1.898004612
41.975,-0.956613536
41.985,0.33787754
41.995,3.515268616
42.005,2.142259692
42.015,5.241150767
42.025,6.261041843
42.035,6.574832919
42.045,6.888723995
42.055,6.574815071
42.065,6.064906146
42.075,5.751097222
42.085,5.397988298
42.095,5.044979374
42.105,4.33887045
42.115,3.436661525
42.125,2.573652601
42.135,1.279243677
42.145,0.102434753
42.155,-1.074374171
42.165,-2.447383095
42.175,-3.50649202
42.185,-4.330300944
42.195,-5.193209868
42.205,-5.781618792
42.215,-6.291627716
42.225,-6.801536641
42.235,-7.036945565
42.245,-7.076154489
42.255,-6.762363413
42.265,-6.134772337
42.275,-5.114881262
42.285,-3.820390186
42.295,-2.21209911
42.305,-0.643108034
42.315,0.729883042
42.325,3.593374118
42.335,3.161865193
42.345,4.024856269
42.355,5.240847345
42.365,5.358538421
42.375,6.888429497
42.385,6.378420572
42.395,5.946911648
42.405,5.633102724
42.415,5.3192938
42.425,4.848584876
42.435,4.142475951
42.445,3.240267027
42.455,2.024258103
42.465,1.357349179
42.475,-0.015559745
42.485,-1.31006867
42.495,-2.682977594
42.505,-3.859786518
42.515,-4.605095442
42.525,-5.350404366
42.535,-6.09581329
42.545,-6.566522215
42.555,-6.958731139
42.565,-6.919540063
42.575,-6.762648987
42.585,-6.135057911
42.595,-5.507466836
42.605,-4.68367576
42.615,-3.506884684
42.625,-2.369293608
42.635,-1.192502532
42.645,0.023488543
42.655,1.514079619
42.665,3.043870695
42.675,2.455461771
42.685,4.181452847
42.695,6.025143922
42.705,6.299734998
42.715,6.338926074
42.725,6.22121715
42.735,5.436708226
42.745,5.475899302
42.755,5.397390377
42.765,5.005181453
42.775,4.416772529
42.785,3.671463605
42.795,2.729954681
42.805,1.474745756
42.815,-0.957363168
42.825,-2.447972092
42.835,-3.546281016
42.845,-4.37008994
42.855,-5.586098865
42.865,-6.331407789
42.875,-6.959016713
42.885,-7.351325637
42.895,-7.233634561
42.905,-7.194443486
42.915,-6.68445241
42.925,-5.978461334
42.935,-5.036970258
42.945,-3.703279182
42.955,-2.408888106
42.965,-0.878997031
42.975,0.611594045
42.985,2.808285121
42.995,2.494476197
43.005,5.083367273
43.015,5.554058348
43.025,6.848549424
43.035,6.8093405
43.045,6.456331576
43.055,6.024822652
43.065,5.789413727
43.075,5.946304803
43.085,5.632495879
43.095,5.044086955
43.105,4.377278031
43.115,3.161169106
43.125,2.141260182
43.135,0.846851258
43.145,-0.565357666
43.155,-2.13446659
43.165,-3.232775514
43.175,-4.409584439
43.185,-5.272593363
43.195,-6.135602287
43.205,-6.802411211
43.215,-7.312420135
43.225,-7.11622906
43.235,-6.841737984
43.245,-6.331746908
43.255,-5.351055832
43.265,-4.174264756
43.275,-2.801373681
43.285,-1.349982605
43.295,-0.016291529
43.305,3.710199547
43.315,2.101890623
43.325,3.200281698
43.335,5.593072774
43.345,5.47536385
43.355,6.338354926
43.365,6.456046002
43.375,5.985237078
43.385,5.710728153
43.395,5.593019229
43.405,5.475310305
43.415,5.239901381
43.425,4.573092457
43.435,3.710083532
43.445,2.337174608
43.455,1.513365684
43.465,0.45425676
43.475,-0.957952164
43.485,-1.977861089
43.495,-2.762370013
43.505,-3.389978937
43.515,-4.331487861
43.525,-5.351296785
43.535,-5.979005709
43.545,-6.449714634
43.555,-6.881223558
43.565,-6.488932482
43.575,-6.371241406
43.585,-5.97905033
43.595,-5.390659255
43.605,-4.370768179
43.615,-3.468577103
43.625,-1.193386027
43.635,-0.055894951
43.645,1.552396124
43.655,2.1407872
43.665,2.062378276
43.675,4.062869352
43.685,5.161260428
43.695,6.220351503
43.705,6.651842579
43.715,6.691033655
43.725,5.984924731
43.735,5.906515807
43.745,5.592706883
43.755,5.043497958
43.765,4.062789034
43.775,3.27828011
43.785,2.179971186
43.795,1.081562262
43.805,-0.016746663
43.815,-1.272055587
43.825,-2.370364511
43.835,-3.115673435
43.845,-4.135582359
43.855,-5.037791284
43.865,-5.822400208
43.875,-6.528409132
43.885,-6.959918056
43.895,-6.99922698
43.905,-6.803035905
43.915,-6.371544829
43.925,-5.743953753
43.935,-4.920262677
43.945,-3.664971601
43.955,-2.488180525
43.965,-1.11528945
43.975,0.061501626
43.985,5.004092702
43.995,1.355983778
44.005,2.885774854
44.015,5.121765929
44.025,5.827757005
44.035,6.533848081
44.045,6.063139157
44.055,5.827730233
44.065,5.513921308
44.075,5.435512384
44.085,5.08240346
44.095,4.572494536
44.105,3.984085612
44.115,3.081876687
44.125,2.022767763
44.135,1.434358839
44.145,0.218249915
44.155,-1.076159009
44.165,-2.606067933
44.175,-3.586676858
44.185,-4.528185782
44.195,-5.626494706
44.205,-6.45030363
44.215,-6.842612554
44.225,-7.234821479
44.235,-6.999530403
44.245,-6.842639327
44.255,-6.371848251
44.265,-5.587357175
44.275,-4.6459661
44.285,-3.586775024
44.295,-2.410083948
44.305,-1.154792872
44.315,-0.056501796
44.325,1.394889279
44.335,4.101580355
44.345,2.532471431
44.355,3.748462507
44.365,5.945153583
44.375,6.062844659
44.385,6.729635734
44.395,6.33742681
44.405,5.866717886
44.415,5.905908962
44.425,4.768300038
44.435,4.062191113
44.445,3.434582189
44.455,2.493173265
44.465,1.512464341
44.475,0.296455417
44.485,-1.115753508
44.495,-2.724062432
44.505,-3.743971356
44.515,-4.88148028
44.525,-5.666089204
44.535,-6.293698129
44.545,-6.646707053
44.555,-6.842915977
44.565,-6.725224901
44.575,-6.411433825
44.585,-6.058342749
44.595,-5.352251674
44.605,-4.489360598
44.615,-3.312569522
44.625,-2.018078446
44.635,-0.48818737
44.645,0.806203705
44.655,3.552094781
44.665,2.022285857
44.675,3.473576933
44.685,4.768068009
44.695,5.984059084
44.705,6.61175016
44.715,6.533241236
44.725,6.180232312
44.735,5.984023388
44.745,5.709514464
44.755,5.317205539
44.765,4.611096615
44.775,3.826587691
44.785,2.806678767
44.795,1.786769843
44.805,0.806060918
44.815,-0.370748006
44.825,-2.56745693
44.835,-3.508865854
44.845,-4.646474778
44.855,-5.509483703
44.865,-6.097892627
44.875,-6.529301551
44.885,-6.686210475
44.895,-6.568619399
44.905,-6.215528324
44.915,-5.784037248
44.925,-4.999546172
44.935,-3.979655096
44.945,-3.03826402
44.955,-2.018372944
44.965,-0.802381869
44.975,0.256809207
44.985,3.120300283
44.995,1.237391359
45.005,2.963382435
45.015,5.08157351
45.025,4.963964586
45.035,5.669955662
45.045,6.846746738
45.055,5.983737814
45.065,5.983728889
45.075,5.669919965
45.085,5.395311041
45.095,4.924602117
45.105,4.179293193
45.115,3.277084268
45.125,2.374875344
45.135,1.39416642
45.145,0.609657496
45.155,-0.449451428
45.165,-1.743960352
45.175,-2.724669277
45.185,-3.705278201
45.195,-4.803687125
45.205,-5.627396049
45.215,-6.176604973
45.225,-6.608113898
45.235,-6.372722822
45.245,-6.137431746
45.255,-5.62744067
45.265,-4.882149594
45.275,-3.940758519
45.285,-2.881667443
45.295,-1.940176367
45.305,-0.763385291
45.315,0.256505785
45.325,3.19849686
45.335,2.492387936
45.345,2.649279012
45.355,4.610570088
45.365,5.159761164
45.375,6.06195224
45.385,6.179643315
45.395,6.140334391
45.405,5.748125467
45.415,5.395016543
45.425,5.042007619
45.435,4.492798694
45.445,3.78678977
45.455,2.884480846
45.465,2.060771922
45.475,0.962362998
45.485,0.060154073
45.495,-1.116654851
45.505,-2.411163775
45.515,-3.274072699
45.525,-4.372481623
45.535,-5.392390548
45.545,-5.863099472
45.555,-6.294608396
45.565,-6.41231732
45.575,-6.333826244
45.585,-5.941535168
45.595,-5.470844093
45.605,-5.039353017
45.615,-4.176361941
45.625,-2.254270865
45.635,-1.116779789
45.645,0.060011286
45.655,5.198702362
45.665,1.354493438
45.675,2.570484514
45.685,4.76717559
45.695,4.767166665
45.705,5.198657741
45.715,6.257748817
45.725,5.747839893
45.735,5.590930969
45.745,5.002522045
45.755,5.08091312
45.765,4.649404196
45.775,3.982595272
45.785,3.354986348
45.795,2.570377424
45.805,1.511268499
45.815,0.648259575
45.825,-0.920749349
45.835,-2.607558273
45.845,-3.588167197
45.855,-4.568876122
45.865,-5.353385046
45.875,-5.74569397
45.885,-6.098802894
45.895,-6.530211818
45.905,-6.294920743
45.915,-6.098829667
45.925,-5.667338591
45.935,-4.843547515
45.945,-3.980556439
45.955,-2.921465363
45.965,-1.705474288
45.975,-0.410983212
45.985,0.648107864
45.995,3.35479894
46.005,1.707190016
46.015,2.883981091
46.025,5.786772167
46.035,6.061363243
46.045,6.218254319
46.055,5.786745395
46.065,5.51213647
46.075,5.355227546
46.085,4.963018622
46.095,4.492209698
46.105,3.786200774
46.115,2.844691849
46.125,1.981682925
46.135,0.883374001
46.145,0.098865077
46.155,-1.117243847
46.165,-2.411752771
46.175,-3.510061696
46.185,-4.56917062
46.195,-5.275279544
46.205,-6.059788468
46.215,-6.530497392
46.225,-6.726706317
46.235,-6.648215241
46.245,-6.373624165
46.255,-5.981433089
46.265,-5.471442013
46.275,-4.726150938
46.285,-3.823959862
46.295,-2.686368786
46.305,-1.50957771
46.315,-0.293586634
46.325,4.060504441
46.335,0.922395517
46.345,2.805286593
46.355,5.158877669
46.365,5.629568745
46.375,5.590359821
46.385,6.610250896
46.395,6.100241972
46.405,5.864933048
46.415,5.158824124
46.425,4.8842152
46.435,4.335006275
46.445,3.628897351
46.455,2.726688427
46.465,1.902979503
46.475,0.843870579
46.485,-0.372238346
46.495,-1.50974727
46.505,-2.921956194
46.515,-3.706465118
46.525,-4.373374042
46.535,-5.157882967
46.545,-5.471691891
46.555,-6.020900815
46.565,-6.295509739
46.575,-6.295518663
46.585,-6.060127587
46.595,-5.746336512
46.605,-5.040245436
46.615,-4.05965436
46.625,-2.961263284
46.635,-1.745272208
46.645,-0.646981133
46.655,0.529809943
46.665,2.648101019
46.675,1.314392095
46.685,3.157983171
46.695,4.138674246
46.705,6.256865322
46.715,5.354656398
46.725,5.903847474
